Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_5530,2726,5,0,0,0,0,0,8,240,248,0.195,2726,41.375,22.390,0,0.058,0.068,0.044,0.065,0.011,31.054,52.888,13.790,29.345,12.846
Track_5531,2727,29,0,0,0,0,0,56,240,296,0.116,2727,43.026,23.919,0,0.014,0.042,0.001,0.012,0.011,66.619,116.749,16.218,68.660,22.928
Track_5532,2728,14,0,0,0,0,0,26,240,266,0.165,2728,45.580,23.035,0,0.025,0.048,0.005,0.023,0.013,17.726,23.898,12.850,17.224,3.258
Track_5533,2729,4,0,0,0,0,0,6,228,234,0.242,2729,45.108,18.279,0,0.049,0.091,0.009,0.048,0.041,18.454,25.991,12.810,17.720,4.758
Track_5534,2730,2,0,0,0,0,0,2,228,230,0.488,2730,40.830,18.291,0,0.244,0.244,0.244,0.244,NaN,16.855,23.397,10.314,23.397,6.541
Track_5535,2731,2,0,0,0,0,0,2,228,230,0.230,2731,42.248,19.801,0,0.115,0.115,0.115,0.115,NaN,35.257,38.848,31.665,38.848,3.591
Track_5536,2732,3,0,0,0,0,0,4,228,232,0.016,2732,41.292,18.997,0,0.039,0.040,0.039,0.040,0.001,15.704,22.247,12.018,12.847,4.639
Track_5537,2733,3,0,0,0,0,0,4,228,232,0.050,2733,41.224,27.330,0,0.014,0.026,0.003,0.026,0.016,17.360,18.226,16.150,17.705,0.882
Track_5538,2734,2,0,0,0,0,0,2,228,230,0.078,2734,44.271,34.994,0,0.039,0.039,0.039,0.039,NaN,30.469,31.974,28.965,31.974,1.504
Track_5539,2735,2,0,0,0,0,0,2,228,230,0.094,2735,36.642,34.532,0,0.047,0.047,0.047,0.047,NaN,14.599,17.653,11.545,17.653,3.054
Track_5540,2736,2,0,0,0,0,0,2,228,230,0.086,2736,49.291,36.057,0,0.043,0.043,0.043,0.043,NaN,40.578,43.503,37.653,43.503,2.925
Track_5541,2737,3,0,0,0,0,0,4,228,232,0.180,2737,33.918,38.576,0,0.095,0.129,0.061,0.129,0.047,11.215,11.915,10.749,10.981,0.504
