Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_69,69,10,1,1,0,0,0,0.500,0.000,0.500,0.167,69,10.227,3.850,0,1.963,4.886,0.337,1.479,1.387,16.329,32.861,10.263,14.887,6.774
Track_70,70,8,0,0,0,0,0,0.350,0.000,0.350,0.019,70,20.456,6.737,0,0.665,1.415,0.238,0.609,0.391,11.217,12.586,10.228,10.823,0.907
Track_71,71,933,0,0,0,0,0,46.600,0.000,46.600,0.094,71,8.881,4.162,0,0.308,3.521,0.006,0.268,0.237,49.638,97.008,11.209,44.677,17.923
Track_72,72,53,0,0,0,0,0,2.600,0.000,2.600,0.091,72,5.548,6.938,0,0.987,2.986,0.106,0.847,0.685,24.742,43.525,15.357,22.986,6.305
Track_73,73,16,0,0,0,0,0,0.750,0.000,0.750,0.317,73,13.109,4.293,0,1.929,4.094,0.543,1.632,1.037,20.959,39.961,10.023,20.479,7.824
Track_74,74,1020,6,1,0,0,0,51.250,0.000,51.250,0.173,74,5.273,13.102,0,0.486,1.624,0.014,0.448,0.266,15.191,23.970,10.177,15.114,2.193
Track_75,75,8,0,0,0,0,0,0.350,0.000,0.350,0.101,75,10.702,4.507,0,1.967,4.395,0.928,1.514,1.242,28.283,36.945,11.598,33.522,9.607
Track_76,76,1323,0,0,0,0,0,66.100,0.000,66.100,0.330,76,10.893,6.928,0,0.405,4.647,0.004,0.322,0.396,39.403,90.859,13.058,35.905,18.571
Track_77,77,127,0,0,0,0,0,6.300,0.000,6.300,0.093,77,18.225,6.886,0,0.516,4.251,0.037,0.461,0.508,16.645,26.491,11.078,16.680,2.227
Track_78,78,684,9,1,0,0,0,34.600,0.000,34.600,0.090,78,12.382,7.015,0,0.518,4.219,0.022,0.442,0.360,27.026,49.110,10.093,27.128,7.780
Track_79,79,65,0,0,0,0,0,3.200,0.000,3.200,0.469,79,13.212,13.113,0,1.097,4.230,0.127,1.084,0.679,66.268,112.369,40.312,58.011,19.963
Track_80,80,81,2,1,0,0,0,4.100,0.000,4.100,0.115,80,15.323,4.579,0,0.741,2.657,0.083,0.701,0.470,18.316,44.213,10.474,17.151,5.765
Track_81,81,15,2,1,0,0,0,0.800,0.000,0.800,0.156,81,16.148,7.183,0,0.924,2.990,0.041,0.838,0.726,13.247,17.846,10.130,12.599,2.388
Track_82,82,212,3,1,0,0,0,10.700,0.000,10.700,0.047,82,14.001,13.126,0,0.627,2.475,0.053,0.529,0.410,27.290,72.722,10.111,27.819,10.732
Track_83,83,860,0,0,0,0,0,42.950,0.000,42.950,0.161,83,7.588,4.712,0,0.437,2.086,0.009,0.395,0.266,32.733,57.602,10.278,33.831,9.884
Track_84,84,95,0,0,0,0,0,4.700,0.000,4.700,0.028,84,5.887,13.617,0,0.556,1.370,0.012,0.529,0.300,17.666,26.465,10.898,17.456,3.122
Track_85,85,4,0,0,0,0,0,0.150,0.050,0.200,0.177,85,4.215,4.792,0,2.121,3.123,0.738,2.501,1.237,13.969,15.315,11.776,15.254,1.455
Track_86,86,7,0,0,0,0,0,0.300,0.000,0.300,0.305,86,6.405,7.404,0,2.227,3.923,0.520,2.513,1.212,35.869,54.433,17.098,40.395,13.473
Track_87,87,865,0,0,0,0,0,43.200,0.000,43.200,0.392,87,0.696,13.828,0,0.593,3.193,0.008,0.520,0.382,19.941,32.678,10.415,19.696,3.578
Track_88,88,13,0,0,0,0,0,0.600,0.000,0.600,0.077,88,8.292,4.786,0,1.147,1.975,0.593,1.278,0.454,21.307,27.836,11.753,21.352,4.897
Track_89,89,107,0,0,0,0,0,5.300,0.000,5.300,0.123,89,8.865,7.366,0,0.580,2.117,0.073,0.527,0.368,24.801,48.958,10.837,24.007,6.704
Track_90,90,28,0,0,0,0,0,1.350,0.000,1.350,0.069,90,12.625,13.807,0,0.730,1.701,0.134,0.722,0.419,56.820,74.492,42.370,57.343,8.865
Track_91,91,851,4,1,0,0,0,42.700,0.000,42.700,0.465,91,13.246,7.314,0,0.492,4.177,0.020,0.428,0.358,25.223,42.271,10.176,25.461,6.853
Track_92,92,939,5,1,0,0,0,47.150,0.000,47.150,0.130,92,10.865,13.895,0,0.547,2.205,0.035,0.506,0.312,20.211,47.751,10.009,18.972,6.222
Track_93,93,6,0,0,0,0,0,0.250,0.000,0.250,0.086,93,7.106,5.350,0,1.418,2.335,0.789,1.025,0.717,176.151,232.898,101.648,184.305,41.242
Track_94,94,3,0,0,0,0,0,0.100,0.150,0.250,0.072,94,20.411,7.635,0,1.239,1.253,1.226,1.253,0.019,22.534,29.876,12.035,25.692,7.618
Track_95,95,10,0,0,0,0,0,0.450,0.000,0.450,0.149,95,11.444,5.472,0,1.734,4.838,0.419,1.256,1.479,23.046,36.324,10.378,25.709,7.543
Track_96,96,32,0,0,0,0,0,1.550,0.000,1.550,0.350,96,7.398,7.966,0,1.847,7.289,0.020,1.341,1.715,36.719,79.500,10.327,43.970,21.666
Track_97,97,166,0,0,0,0,0,8.250,0.000,8.250,0.018,97,4.904,5.719,0,0.664,2.211,0.044,0.558,0.423,33.560,53.782,15.002,33.368,6.984
Track_98,98,3,0,0,0,0,0,0.100,0.150,0.250,0.037,98,7.370,8.169,0,0.556,0.803,0.308,0.803,0.349,14.777,16.524,12.948,14.860,1.461
Track_99,99,30,1,1,0,0,0,1.500,0.000,1.500,0.497,99,10.640,5.423,0,2.024,4.665,0.165,2.022,1.121,40.479,84.885,10.715,41.202,21.904
Track_100,100,710,0,0,0,0,0,35.450,0.000,35.450,0.096,100,15.041,8.179,0,0.540,7.681,0.010,0.468,0.516,21.727,60.010,11.628,20.273,6.280
