Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_7122,7122,3,0,0,0,0,0,0.120,35.340,35.460,0.340,7122,15.000,8.333,0,2.851,3.506,2.196,3.506,0.926,4.156,5.402,3.287,3.778,0.904
Track_7123,7123,5,1,1,0,0,0,0.300,35.340,35.640,0.294,7123,12.508,9.359,0,4.083,6.749,2.940,3.635,1.805,3.495,3.965,3.238,3.380,0.255
Track_7124,7124,5,0,0,0,0,0,0.240,35.340,35.580,0.280,7124,10.632,10.609,0,1.934,3.282,0.427,2.925,1.386,3.531,4.406,3.078,3.395,0.469
Track_7125,7125,2,0,0,0,0,0,0.060,35.340,35.400,0.065,7125,2.684,11.748,0,1.083,1.083,1.083,1.083,NaN,4.939,6.121,3.758,6.121,1.181
Track_7126,7126,11,1,1,0,0,0,0.660,35.340,36.000,0.223,7126,3.108,12.397,0,2.130,4.102,0.494,2.221,1.301,3.941,4.896,3.019,3.790,0.673
Track_7127,7127,6,0,0,0,0,0,0.300,35.340,35.640,0.786,7127,12.719,15.010,0,4.041,6.943,0.507,3.732,2.388,3.460,3.996,3.144,3.479,0.271
Track_7128,7128,4,1,1,0,0,0,0.240,35.340,35.580,1.054,7128,1.375,16.637,0,4.940,9.860,1.239,3.722,4.438,3.282,3.684,3.112,3.185,0.234
Track_7129,7129,2,0,0,0,0,0,0.060,34.620,34.680,0.161,7129,11.934,16.233,0,2.676,2.676,2.676,2.676,NaN,3.480,3.869,3.092,3.869,0.388
Track_7130,7130,2,0,0,0,0,0,0.060,34.620,34.680,0.336,7130,10.322,16.369,0,5.602,5.602,5.602,5.602,NaN,3.618,3.758,3.478,3.758,0.140
Track_7131,7131,2,0,0,0,0,0,0.060,34.620,34.680,0.107,7131,16.952,5.470,0,1.776,1.776,1.776,1.776,NaN,3.703,4.154,3.252,4.154,0.451
Track_7132,7132,3,0,0,0,0,0,0.120,34.560,34.680,0.116,7132,17.129,6.810,0,1.743,2.593,0.893,2.593,1.202,3.264,3.407,3.014,3.370,0.177
Track_7133,7133,2,0,0,0,0,0,0.060,34.620,34.680,0.071,7133,12.667,9.065,0,1.190,1.190,1.190,1.190,NaN,3.518,3.693,3.343,3.693,0.175
Track_7134,7134,2,0,0,0,0,0,0.060,34.620,34.680,0.383,7134,9.428,9.957,0,6.387,6.387,6.387,6.387,NaN,4.608,5.711,3.506,5.711,1.102
Track_7135,7135,2,0,0,0,0,0,0.060,34.560,34.620,0.497,7135,3.473,12.599,0,8.287,8.287,8.287,8.287,NaN,4.087,4.891,3.284,4.891,0.804
Track_7136,7136,2,0,0,0,0,0,0.060,34.560,34.620,0.284,7136,9.242,12.958,0,4.731,4.731,4.731,4.731,NaN,3.165,3.271,3.059,3.271,0.106
Track_7137,7137,2,0,0,0,0,0,0.060,34.560,34.620,0.130,7137,4.567,14.220,0,2.161,2.161,2.161,2.161,NaN,3.294,3.509,3.078,3.509,0.216
Track_7138,7138,3,0,0,0,0,0,0.120,35.520,35.640,0.101,7138,12.140,1.917,0,1.101,1.873,0.329,1.873,1.092,4.196,4.866,3.465,4.256,0.573
Track_7139,7139,23,0,0,0,0,0,1.320,35.520,36.840,0.532,7139,12.662,5.524,0,3.341,7.021,0.713,3.534,1.710,4.838,7.793,3.137,4.542,1.213
Track_7140,7140,3,0,0,0,0,0,0.120,35.460,35.580,0.303,7140,10.908,6.994,0,2.527,3.456,1.598,3.456,1.314,4.439,4.807,4.025,4.485,0.321
Track_7141,7141,5,0,0,0,0,0,0.240,35.460,35.700,0.562,7141,15.352,10.175,0,3.044,4.881,0.985,4.774,2.072,4.118,4.957,3.356,4.140,0.516
Track_7142,7142,3,0,0,0,0,0,0.120,35.520,35.640,0.119,7142,19.280,10.662,0,1.435,1.943,0.927,1.943,0.718,3.652,3.993,3.100,3.863,0.394
Track_7143,7143,3,0,0,0,0,0,0.120,35.460,35.580,0.056,7143,15.778,11.101,0,1.583,2.048,1.118,2.048,0.658,3.400,3.501,3.226,3.474,0.124
Track_7144,7144,3,0,0,0,0,0,0.120,35.460,35.580,0.291,7144,9.188,13.166,0,3.109,4.680,1.538,4.680,2.221,3.462,3.757,3.158,3.472,0.245
Track_7145,7145,3,0,0,0,0,0,0.120,35.460,35.580,0.062,7145,4.416,13.480,0,3.816,3.918,3.713,3.918,0.145,3.378,3.852,3.093,3.191,0.337
Track_7146,7146,3,0,0,0,0,0,0.120,35.460,35.580,0.008,7146,7.699,15.031,0,3.311,3.324,3.298,3.324,0.019,4.271,5.656,3.113,4.043,1.051
Track_7147,7147,3,0,0,0,0,0,0.120,35.520,35.640,0.321,7147,4.977,15.197,0,3.901,6.566,1.236,6.566,3.769,3.697,4.962,3.002,3.127,0.896
Track_7148,7148,3,0,0,0,0,0,0.120,35.520,35.640,0.637,7148,9.599,15.373,0,5.340,8.780,1.900,8.780,4.865,3.492,3.981,3.069,3.428,0.375
Track_7149,7149,4,0,0,0,0,0,0.180,35.400,35.580,0.455,7149,2.948,17.742,0,4.855,6.070,3.306,5.189,1.412,3.559,3.856,3.367,3.562,0.185
Track_7150,7150,2,0,0,0,0,0,0.060,35.520,35.580,0.191,7150,4.338,18.211,0,3.188,3.188,3.188,3.188,NaN,3.537,3.588,3.486,3.588,0.051
Track_7151,7151,2,0,0,0,0,0,0.060,35.580,35.640,0.570,7151,10.475,9.850,0,9.508,9.508,9.508,9.508,NaN,3.120,3.225,3.016,3.225,0.104
Track_7152,7152,3,0,0,0,0,0,0.120,35.580,35.700,0.590,7152,8.107,11.606,0,6.544,8.827,4.261,8.827,3.229,4.364,4.888,3.384,4.820,0.694
Track_7153,7153,6,1,1,0,0,0,0.360,35.580,35.940,0.005,7153,2.633,11.630,0,3.919,5.639,1.141,4.280,1.921,3.462,4.042,3.068,3.338,0.389
Track_7154,7154,4,0,0,0,0,0,0.180,35.580,35.760,0.388,7154,5.655,13.222,0,3.819,4.481,3.476,3.501,0.573,3.575,3.932,3.182,3.760,0.290
Track_7155,7155,2,0,0,0,0,0,0.060,35.580,35.640,0.160,7155,5.817,15.417,0,2.669,2.669,2.669,2.669,NaN,3.292,3.378,3.207,3.378,0.085
Track_7156,7156,2,0,0,0,0,0,0.060,35.580,35.640,0.480,7156,1.244,15.688,0,8.005,8.005,8.005,8.005,NaN,3.182,3.215,3.150,3.215,0.032
Track_7157,7157,2,0,0,0,0,0,0.060,35.580,35.640,0.386,7157,13.368,16.811,0,6.425,6.425,6.425,6.425,NaN,3.247,3.355,3.139,3.355,0.108
Track_7158,7158,3,0,0,0,0,0,0.120,35.580,35.700,0.188,7158,1.016,16.877,0,1.570,2.274,0.866,2.274,0.996,4.375,5.503,3.581,4.040,0.819
Track_7159,7159,2,0,0,0,0,0,0.060,35.580,35.640,0.022,7159,12.286,5.339,0,0.373,0.373,0.373,0.373,NaN,3.277,3.319,3.234,3.319,0.042
Track_7160,7160,2,0,0,0,0,0,0.060,35.580,35.640,0.184,7160,9.598,5.707,0,3.061,3.061,3.061,3.061,NaN,4.487,5.000,3.974,5.000,0.513
Track_7161,7161,18,2,1,0,0,0,1.140,35.580,36.720,1.100,7161,16.392,6.689,0,3.482,9.168,0.921,3.146,2.120,3.993,7.347,3.016,3.801,0.966
Track_7162,7162,3,0,0,0,0,0,0.120,35.400,35.520,0.240,7162,15.667,5.644,0,3.093,4.271,1.915,4.271,1.666,3.603,3.853,3.343,3.612,0.209
Track_7163,7163,2,0,0,0,0,0,0.060,35.460,35.520,0.168,7163,14.421,7.863,0,2.796,2.796,2.796,2.796,NaN,4.272,4.381,4.163,4.381,0.109
